Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","LP802036JU","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",164.600000,-81.500000,0.000000,bottom
"C15","100n","C_0402_1005Metric",144.775000,-76.725000,90.000000,bottom
"D3","TPD1E10B06DPYR","Texas_DPY0002A_0.6x1mm_P0.65mm",158.057500,-79.900000,180.000000,bottom
"D10","APFA3010","LED_Kingbright_APFA3010_3x1.5mm_Horizontal",147.700000,-76.800000,180.000000,bottom
"J1","USB4135-GF-A","USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal",137.700000,-78.700000,0.000000,bottom
"R22","1k","R_0603_1608Metric",150.300000,-80.075000,90.000000,bottom
"R23","1k","R_0603_1608Metric",147.300000,-80.075000,90.000000,bottom
"R26","1k","R_0603_1608Metric",148.800000,-80.075000,90.000000,bottom
"SW1","PWR/IN","SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010",157.700000,-77.400000,0.000000,bottom
"TH1","NTC","R_0402_1005Metric",147.700000,-93.100000,180.000000,bottom
"C1","1u","C_0402_1005Metric",137.475000,-84.775000,180.000000,top
"C2","1u","C_0402_1005Metric",136.825000,-81.500000,90.000000,top
"C3","1u","C_0402_1005Metric",143.400000,-81.525000,-90.000000,top
"C4","1u","C_0402_1005Metric",137.925000,-81.500000,90.000000,top
"C5","100n","C_0402_1005Metric",153.150000,-81.550000,-90.000000,top
"C6","10u","C_0603_1608Metric",156.225000,-84.325000,180.000000,top
"C7","100n","C_0402_1005Metric",166.605000,-81.950000,90.000000,top
"C8","22u","C_0805_2012Metric",164.400000,-88.725000,0.000000,top
"C9","22u","C_0805_2012Metric",164.400000,-95.642624,0.000000,top
"C10","22u","C_0805_2012Metric",164.400000,-93.542624,0.000000,top
"C11","1u","C_0402_1005Metric",150.900000,-84.075000,0.000000,top
"C12","4.7u","C_0603_1608Metric",152.575000,-93.150000,0.000000,top
"C13","4.7u","C_0603_1608Metric",151.525000,-100.200000,0.000000,top
"C14","100n","C_0402_1005Metric",137.200000,-93.200000,-90.000000,top
"C16","10u","C_0603_1608Metric",145.500000,-97.400000,-90.000000,top
"C17","100n","C_0402_1005Metric",144.100000,-97.400000,-90.000000,top
"C18","100n","C_0402_1005Metric",139.150000,-98.100000,-90.000000,top
"C19","10u","C_0603_1608Metric",137.775000,-98.650000,-90.000000,top
"C20","10u","C_0603_1608Metric",134.350000,-98.650000,90.000000,top
"C21","8p","C_0402_1005Metric",133.125000,-93.950000,180.000000,top
"C22","8p","C_0402_1005Metric",131.125000,-93.950000,0.000000,top
"D1","MBR0520LT1G","D_SOD-123",145.725000,-84.175000,180.000000,top
"D2","TPD1E10B06DPYR","Texas_DPY0002A_0.6x1mm_P0.65mm",139.825000,-84.150000,180.000000,top
"D4","BAV99,215","TSOT-23",150.650000,-87.100000,-90.000000,top
"D5","MBR0520LT1G","D_SOD-123",155.600000,-100.200000,0.000000,top
"D6","DF2B5M4CT,L3F","D_SOD-882",140.610000,-87.525000,0.000000,top
"D7","DF2B5M4CT,L3F","D_SOD-882",140.610000,-88.925000,0.000000,top
"D8","DF2B5M4CT,L3F","D_SOD-882",142.410000,-88.925000,180.000000,top
