"Reference","Qty","Value","Description","Manufacturer_Part_Number","DNP","Exclude from BOM","Exclude from Board","MPN","Manufacturer"
"BT1","1","LP802036JU","BATTERY 3.7V 500MAH","LP802036JU +PCM+2IC+2 WIRES 50MM","","","","","Jauch Quartz"
"C1,C2,C3,C4,C11","5","1u","CAP CER 1UF 16V X5R 0402","CL05A105KO5NNNC","","","","","Samsung Electro-Mechanics"
"C5,C7,C14,C15,C17,C18","6","100n","CAP CER 0.1UF 16V X7R 0402","CL05B104KO5NNNC","","","","","Samsung Electro-Mechanics"
"C6,C16,C19,C20","4","10u","CAP CER 10UF 16V X6S 0603","CL10X106MO8NRNC","","","","","Samsung Electro-Mechanics"
"C8,C9,C10","3","22u","CAP CER 22UF 25V X5R 0805","CL21A226MAYNNNE","","","","","Samsung Electro-Mechanics"
"C12,C13","2","4.7u","CAP CER 4.7UF 35V X5R 0603","GRM188R6YA475KE15D","","","","","Murata Electronics"
"C21,C22","2","8p","CAP CER 8PF 50V C0G/NP0 0402","CL05C080DB51PNC","","","","","Samsung Electro-Mechanics"
"D1,D5","2","MBR0520LT1G","DIODE SCHOTTKY 20V 500MA SOD123","MBR0520LT1G","","","","","onsemi"
"D2,D3","2","TPD1E10B06DPYR","TVS DIODE 5.5VWM 14VC 2X1SON","TPD1E10B06DPYR","","","","","Texas Instruments"
"D4","1","BAV99,215","DIODE ARR GP 100V 215MA TO-236AB","BAV99,215","","","","","Nexperia USA Inc."
"D6,D7,D8,D9","4","DF2B5M4CT,L3F","TVS DIODE 3.6VWM 15VC CST2","DF2B5M4CT,L3F","","","","","Toshiba Semiconductor and Storage"
"D10","1","APFA3010","LED RGB CLEAR 4SMD R/A","APFA3010LSEEZGKQBKC","","","","","Kingbright"
"F1","1","FUSE","FUSE BOARD MOUNT 1A 32VDC 0603","MFU0603FF01000P500","","","","","Vishay"
"H1,H2","2","MountingScrew","Mounting screw","","","Excluded from BOM","","",""
"H3","1","2147192020","CONN HDR HSG 2POS 0.80MM","2147192020","","","Excluded from board","","Molex"
"H4","1","2147205001","ZERO-HACHI 0.8 CRIMP TERM #30-32","2147205001","","","Excluded from board","","Molex"
"H5,H6","2","M2","Mounting Hole without connection","","","Excluded from BOM","","",""
"J1","1","USB4135-GF-A","USB C REC GF RA 6P SMT & SMT SHE","USB4135-GF-A","","","","","GCT"
"J2,J4","2","2147210021","ZERO-HACHI 0.8 HDR SR RA ETP AU","2147210021","","","","","Molex"
"J3","1","SWD","~","~","","Excluded from BOM","","",""
"L1","1","27n","FIXED IND 27NH 500MA 550 MOHM","LQG18HN27NJ00D","DNP","","Excluded from board","","Murata Electronics"
"L2","1","1u","FIXED IND 1UH 1.7A 128 MOHM SMD","DFE18SAN1R0MG0L","","","","","Murata Electronics"
"L3","1","4.7u","FIXED IND 4.7UH 600MA 180 MOHM","MLZ2012N4R7LT000","","","","","TDK"
"Q1","1","DMP2240UDM","MOSFET 2P-CH 20V 2A SOT26","DMP2240UDM","","","","","Diodes Incorporated"
"Q2","1","DMC2700UDM-7","MOSFET N/P-CH 20V 1.34A SOT26","DMC2700UDM-7","","","","","Diodes Incorporated"
"R1,R24,R26","3","0","RES 0 OHM JUMPER 1/10W 0603","RC0603JR-070RL","","","","","YAGEO"
"R2,R6,R9,R13,R16,R27","6","10k","RES 10K OHM 1% 1/10W 0603","RK73H1JTTD1002F","","","","","KOA Speer Electronics, Inc."
"R3,R4","2","5.1k","RES 5.1K OHM 1% 1/10W 0603","RK73H1JTTD5101F","","","","","KOA Speer Electronics, Inc."
"R5","1","5.6k","RES 5.6K OHM 1% 1/10W 0603","RC0603FR-075K6L","","","","","YAGEO"
"R7,R8,R10","3","100k","RES 100K OHM 1% 1/10W 0603","RK73H1JTTD1003F","","","","","KOA Speer Electronics, Inc."
"R11,R14","2","300k","RES 300K OHM 1% 1/10W 0603","RK73H1JTTD3003F","","","","","KOA Speer Electronics, Inc."
"R12","1","511k","RES 511K OHM 1% 1/10W 0603","RK73H1JTTD5113F","","","","","KOA Speer Electronics, Inc."
"R15","1","91k","RES 91K OHM 1% 1/10W 0603","RC0603FR-0791KL","","","","","YAGEO"
"R17,R18,R19","3","49R9","RES 49.9 OHM 1% 1/10W 0603","RC0603FR-0749R9L","","","","","YAGEO"
"R20","1","R","~","~","","","","",""
"R21,R22,R25","3","1k","RES 1K OHM 1% 1/8W 0603","RK73H1JTTD1001F","","","","","KOA Speer Electronics, Inc."
"R23","1","49R9","RES 49.9 OHM 1% 1/10W 0603","RC0603FR-0749R9L","DNP","","Excluded from board","","YAGEO"
"SW1","1","PWR/IN","SWITCH TACTILE SPST-NO 0.05A 12V","SKRTLAE010","","","","","Alps Alpine"
"TH1","1","NTC","THERMISTOR NTC 10KOHM 3380K 0402","NTCG103JF103FT1","","","","","TDK"
"TP1","1","VBUS","~","~","","","","",""
"TP2","1","BATT_VBUS","~","~","","","","",""
"TP3","1","VCC","~","~","","","","",""
"TP4","1","3.3V","~","~","","","","",""
"U1","1","BQ21040DBV","IC BATT CHG LI-ION 1CELL SOT23-6","BQ21040DBVT","","","","","Texas Instruments"
"U2","1","TPS631000","IC REG BUCK BOOST ADJ 2A SOT-583","TPS631000DRLR","","","","","Texas Instruments"
"U3","1","TPS61043","IC LED DRVR RGLTR PWM 60MA 8SON","TPS61043DRBR","","","","","Texas Instruments"
"U4","1","STM32L011F3U6TR","IC MCU 32BIT 8KB FLASH 20UFQFPN","STM32L011F3U6TR","","","","","STMicroelectronics"
"Y1","1","830009706","CRYSTAL 32.7680KHZ 9PF SMD","830009706","","","","ABS05-32.768KHZ-9-T","Würth Elektronik"
